date,cases0_1,cases1_5,cases5_15,cases15_65,cases65,casesSum,pop0_1,pop1_4,pop5_14,pop15_64,pop65,popSum
1915-01-03,6,25,46,422,35,534,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-01-10,7,21,53,405,44,530,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-01-17,3,36,110,406,39,594,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-01-24,3,26,76,390,32,527,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-01-31,3,20,101,519,37,680,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-02-07,3,22,118,556,25,724,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-02-14,2,30,69,486,34,621,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-02-21,5,21,59,364,27,476,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-02-28,2,26,31,291,12,362,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-03-07,2,11,24,236,17,290,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-03-14,2,10,21,188,16,237,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-03-21,1,3,15,136,5,160,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-03-28,0,3,8,72,4,87,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-04-04,0,4,5,89,7,105,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-04-11,0,6,8,86,0,100,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-04-18,3,2,3,53,2,63,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-04-25,0,4,8,52,2,66,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-05-02,0,8,4,45,1,58,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-05-09,1,6,6,27,2,42,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-05-16,0,0,5,33,0,38,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-05-23,0,5,5,29,3,42,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-05-30,0,5,5,16,0,26,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-06-06,0,1,6,21,1,29,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-06-13,0,2,5,21,2,30,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-06-20,0,3,4,15,3,25,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-06-27,0,1,1,20,1,23,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-07-04,0,1,2,7,1,11,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-07-11,0,0,0,17,1,18,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-07-18,0,0,1,13,0,14,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-07-25,0,1,0,14,1,16,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-08-01,0,0,1,3,0,4,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-08-08,0,0,0,7,0,7,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-08-15,0,1,2,6,0,9,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-08-22,0,0,0,6,0,6,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-08-29,0,0,0,9,0,9,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-09-05,0,1,2,5,0,8,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-09-12,0,0,1,12,1,14,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-09-19,0,0,1,15,0,16,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-09-26,0,0,1,13,0,14,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-10-03,0,0,4,14,2,20,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-10-10,0,3,8,37,8,56,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-10-17,0,4,1,48,4,57,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-10-24,2,9,7,43,4,65,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-10-31,0,8,5,49,9,71,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-11-07,0,5,11,62,9,87,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-11-14,2,5,9,34,3,53,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-11-21,0,2,8,63,3,76,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-11-28,0,4,12,50,2,68,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-12-05,0,4,5,58,5,72,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-12-12,2,2,4,52,2,62,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-12-19,1,3,3,33,3,43,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1915-12-26,1,8,2,69,6,86,9396.6,36502.2,86777.2,334181.2,27778.6,494635.8
1916-01-02,1,2,6,91,7,107,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-01-09,1,3,5,52,3,64,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-01-16,0,1,13,67,5,86,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-01-23,0,4,9,77,2,92,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-01-30,0,1,8,92,4,105,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-02-06,0,8,13,93,12,126,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-02-13,0,7,19,178,6,210,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-02-20,4,13,20,273,13,323,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-02-27,1,19,60,388,24,492,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-03-05,1,29,92,532,29,683,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-03-12,3,40,124,797,35,999,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-03-19,5,50,126,792,75,1048,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-03-26,5,61,133,738,66,1003,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-04-02,9,63,85,530,37,724,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-04-09,17,66,72,394,30,579,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-04-16,4,20,30,168,16,238,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-04-23,3,18,26,180,20,247,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-04-30,0,9,14,164,13,200,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-05-07,0,6,16,107,13,142,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-05-14,2,3,11,81,9,106,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-05-21,1,4,13,84,7,109,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-05-28,0,2,6,66,10,84,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-06-04,1,3,9,47,3,63,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-06-11,0,1,5,38,7,51,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-06-18,0,0,4,47,3,54,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
1916-06-25,0,3,3,39,1,46,9312.0,36443.0,87990.0,341256.0,28477.0,503478.0
